source_id,comment_text,target_id
A6g61jtcm,支那必亡,zejN8vBG2
zeUKV93yo,[吃惊][汗][晕],zeaMs1O8W
zeJkO7kI5,哈哈哈感觉像中药,zeaMs1O8W
zetBq8F1B,蓝色光标都移植到西门子冰箱了？[吃惊]，厉害，怪不得要去公关 。不过要是需要维修也可以联系金牌服务浩浩。,zetxH53hA
zetxH53hA,没有关系，我家博世冰箱中门关不上，有幸在西门孙子事件中听说了蓝色光标,zetmRpJuM
zettfEN71,澄清~她并没有这个意思~只是大家的误解~！请不要再转发了~！！,zesQ8AqM7
zetmRpJuM,发微博的所在公司蓝色光标不是庇护西门孙子，公关 那公司吗？,zetb46gwS
zetb46gwS,。。。。。。,zesQ8AqM7
zesQ8AqM7,严重声明 这是朋友 家小区在修水管 和污染无关！,zeaMs1O8W
zesq7bmLJ,[衰],zeaMs1O8W
zekhS7V0w,多謝習書記，讓我們免費喝可樂,zejKhth8B
zek5thf8A,真相要转的！,zek4ih37w
zek4ih37w,所以说，太多人骂天骂地骂政府只为发泄从不介意真相。,zeaMs1O8W
zek1I6OeP,王老吉凉茶，喝了不上火。。。,zeaMs1O8W
zek0cu1D9,[吃惊],zejZR9sJS
zejZR9sJS,[吃驚],zeaMs1O8W
zejV6AFfZ,真的假的?,zeaMs1O8W
zejTclyyh,[衰],zeaMs1O8W
zejN8vBG2,[哈哈][哈哈][哈哈][哈哈][哈哈],zeaMs1O8W
zejM1nixW,？,zeaMs1O8W
zejLhzJPI,太恐怖,zeaMs1O8W
zejKPtAmU,我还以为是赤豆汤 是不是很像！！,zeaMs1O8W
zejKs90k4,炒作这种消息很无聊，水管子维修都会这样，放一会就好了。,zeaMs1O8W
zejKnFx6a,嘻嘻嘻，不要信，人家出来辟谣了！,zeaMs1O8W
zejKhth8B,[衰]好似中藥甘[哼],zeaMs1O8W
zejIOdHNh,[吃惊],zeaMs1O8W
zejCk45tF,这个支持，要转！,zeaMs1O8W
zej0IA6dF,收到，帮你转,zeiyC5VAG
zeiGJ0SRk,是这样么？,zeaMs1O8W
zeiAQ4YtW,这么凶残！！,zeaMs1O8W
zeiyC5VAG,在帝都安好？,zeaMs1O8W
zeiynkl6t,这些大号为了吸引眼球完全没有下限，肆意串改事实，明显这是停水之后的现象，原博主也声明过了。[怒],zeaMs1O8W
zeixdvt8j,求辟谣,zeaMs1O8W
zeivt5fBB,图片来源已经删微博辟谣了。。,zeaMs1O8W
zeijRy0BP,冬令进补，吃高方呢！[嘻嘻],zeaNA7MKJ
zehQ4sfm4,太离谱了,zeaMs1O8W
zehykjnkH,还可以这样出名的哈，知道麻烦了吧？,zehxo7qgj
zehxo7qgj,末日要来了吗？,zehqYo6AM
zehqYo6AM,金山的水颜色没tm那么黑，但是tm一股液化气的味道，吃不死的绝对是长期灌溉的原因[衰]，,zebFkl8Hv
zehneqToL,难怪北京地铁才两块，要不然早就成楼兰了,zef242Blr
zehlJl61w,[吃惊],zeaY0lUcg
zehiBusRt,庆幸生活在广州,zeharhXRX
zehewwPeo,[震惊],zeharhXRX
zehb1mkoj,我们家水也不同程度发黄,zeharhXRX
zeharhXRX,帝都人民各种无感,zegLEtygi
zeh9JitlX,[吃惊][吐] 记得买矿泉水喝！,zefmLCxqm
zegLEtygi,帝都的水都这样了？,zeaMs1O8W
zegCtzRSK,个就伐管了，反正讲过就米有责任了。。。,zebcRDgJh
zeg8Mrw95,瞎扯淡的！我问过我爸妈了都= =你看这条是谁发的呀[弱][怒],zeaSilFaY
zeg2x3jaE,[吃惊],zeaRLv4b1
zefVswhhY,[晕][晕][晕],zeaMs1O8W
zefVjEgrc,归根结底，很多人只听他们想听到的东西，也助长了这股歪风。,zefK9kepi
zefSXodGV,中国不能再待啦,zeaRLv4b1
zefLYulNp,[衰],zefhE0Goi
zefLe7L7I,把首都也搞成这样 牛,zee6paG9S
zefLdbGZu,恐怖[衰],zeaRLv4b1
zefK9kepi,太荒谬了！这种帖子被大量转发，而我说，如果是假的，传播的人应该被处理的帖子被删掉了。,zeaMs1O8W
zefDn7xvX,我决定要买个口罩了。为了自己的生命%……,zeaVL8Bzl
zefxnnvsu,[衰][吃惊][生病],zeaMs1O8W
zefuUiPY7,[吐],zefmLCxqm
zefrRdNvz,魔都贺电,zeaMs1O8W
zefmLCxqm,上海的自来水经过滤也不敢喝，不喝自来水起码2年多了！ [汗],zeaMs1O8W
zefmjfb5o,帝都的水都这样了，有专家提示下，南京的水能喝吗？[失望],zeaMs1O8W
zeflJflEk,赤豆汤？！[吃惊],zeaMs1O8W
zefhE0Goi,[吃惊],zebD6n1Jr
zefh9guJA,[衰],zeaRLv4b1
zef950Iui,太可怕了，基本的生活保障出问题了,zeaMs1O8W
zef26nn0A,"擦,这。。。",zeaRLv4b1
zef242Blr,哇撒…还好走得早…这两天不是沙尘暴就是毒气，中国人民太苦了,zeaMI2Bdu
zeeZC9S24,嘿嘿，星巴克厉害,zebD6n1Jr
zeeSNgu39,从水龙头黑醋出来了！？,zebjajJ3N
zeePOA2lL,至少空气污染是很严重。不过天津也是一样的。。。。。我想回火星了,zeaMNlF82
zeeKEAydn,那么吓人[晕],zeaMs1O8W
zeeHR7Rqw,"北京不能呆了,赶紧撤！",zeaY0lUcg
zeeBYdz9o,真的吗？[晕],zedMAcTq3
zeeAvdDEA,有那么严重吗[吃惊],zeaRLv4b1
zeepxzw81,不是号称帝都的水质最安全的嘛[嘻嘻],zeaRLv4b1
zeeaGwaAr,遭受人类破坏和摧残之后的大自然，报复给人类的是十倍的残酷，百倍的无情，千倍的严厉。,zeaMs1O8W
zee6paG9S,宁波今天也重度污染,zeaMs1O8W
zedMAcTq3,[吃惊][吃惊][吃惊][吃惊][吃惊],zeaMs1O8W
