source_id,comment_text,target_id
z34yu42s4,[织],z0zFQau5e
z1c5U2RFW,坑爹啊,z0zDrypuX
z0S8ft58X,[右哼哼][左哼哼],z0zDrypuX
z0JwWv9ap,一针见血，中国的贼官在各个领域里都有。,z0zDrypuX
z0HrR6zzG,坑老百姓啊！[怒骂],z0zDrypuX
z0HmayM5Y,[汗],z0zDrypuX
z0E4Dy4Ln,顶起,z0E2W4tVp
z0E2W4tVp,这消息怎么不实了？是事实啊！[汗][睡觉],z0zDrypuX
z0BYFfceU,[委屈],z0zDrypuX
z0BN3Ezwr,你的水平都知道的[偷笑],z0zDrypuX
z0BFiigFl,哇，一下子就如此严，也不给个缓冲的机会！,z0BEv0nof
z0BEv0nof,这。。。,z0zDrypuX
z0BtCmRIf,太轻了，才100元？应至少500元起，这样人民才不会乱开车！,z0zDrypuX
z0BqXuEWl,应该还有最重要的一条这里没写吧，满分变为1W分,z0zDrypuX
z0Bg10YFn,我靠...,z0zDrypuX
z0BeYiZZU,晕了。,z0zDrypuX
z0B5h0Kan,中国就是腐败的国家.管理不好.就出这样的政策不给人买车![弱],z0zDrypuX
z0AUxzzN0,残暴'不过为了安全满好'到时估计驾照可以卖钱了,z0zDrypuX
z0AMY1S0k,一年内扣12分，枪毙,z0A3sEqpF
z0AIQ9oUY,有时候在想，城市道路一般限速60公里，高速限速120公里。为何汽车公司和人民不断追求大排量汽车。要我设计，就速度而言，就2种车。第一种，最高时速60公里，城市内和50岁以上人士使用；第二种，最高时速120公里，城市外和50岁以下人使用。严禁打击汽车公司违规制造超速车辆。,z0zDrypuX
z0AHAnVp1,各位：看着办吧！,z0zDrypuX
z0AGp8yK7,这么严格啦，大家要小心啦,z0zDrypuX
z0AAWcvKz,[抓狂]...,z0zDrypuX
z0AxZjobl,好吧 记下了,z0zDrypuX
z0Ax6341K,以后路上的车会少掉的[失望],z0zDrypuX
z0AuFCu4N,+1,z0zDrypuX
z0Arw2WaB,超速6分？[吃惊]要小心了,z0zDrypuX
z0AqTBxpV,[吃惊]俩次红灯驾照就没啦,z0zDrypuX
z0ApqzSoI,疯都疯了。,z0zDrypuX
z0AoOciOj,各位亲，要注意新规则了[话筒],z0zDrypuX
z0AnAeZQm,貌似这个是假的啊？今天东方卫报还纠正了呢,z0A1gpWrI
z0AlJyXBD,这是假的，网上有正确的,z0zDrypuX
z0Alt1Taq,草脚[哈哈],z0zDrypuX
z0AkBhfLj,哈哈，有人打你电话，让我姐姐待接,z0A0da7qk
z0AiQwV6A,[ok],z0zDrypuX
z0AiIfqPe,[挖鼻屎],z0zDrypuX
z0Agb3lPJ,"交通安全,人人有責",z0zDrypuX
z0AfHbt1l,太严厉了···,z0zDrypuX
z0Af9uQOp,文明驾驶，和谐社会.,z0zDrypuX
z0AeGx8sB,烟也不让抽了 电话也不让打了 这还造车干嘛呢[挖鼻屎],z0zMNi9AR
z0Acel4ei,中国各种禁烟 现在开车都不让抽烟了！~ NB 把烟草企业都强制停产 直接倒闭!~烟草局解散完了！~ 没地方买烟 大家就都不抽了！~,z0zDrypuX
z0AazdeQW,交通新规,z0zDrypuX
z0A9cavns,军车、警车包括吗,z0zDrypuX
z0A7X2xKH,求证实。,z0zDrypuX
z0A7MDXj5,人都会疯的，咱们考虑卖车吧？,z0zDrypuX
z0A7jEV06,开车也没自由了~~[泪流满面],z0zDrypuX
z0A5E0Niq,大家要遵守,z0zDrypuX
z0A5l5Vlh,看来领导们又缺钱了。。。倒霉的又是老百姓啊。。。,z0zDrypuX
z0A4zeZB2,[泪][泪][泪],z0zDrypuX
z0A4gjxA1,这样给人不要活了,z0zDrypuX
z0A3sEqpF,[挖鼻屎][挖鼻屎][挖鼻屎],z0zDrypuX
z0A3rbYz8,开车的新老朋友一定要注意了,z0zDrypuX
z0A2Sl9Vr,晕哪[晕],z0zDrypuX
z0A2H7riC,[汗],z0zDrypuX
z0A1XipDp,长点记性,z0zDrypuX
z0A1W82kx,真的？假的？,z0zDrypuX
z0A1KAhbG,扩~,z0zDrypuX
z0A1H3Jsh,好！,z0zDrypuX
z0A1gpWrI,扩散,z0zDrypuX
z0A1adH44,自己不找文件看看就开始传，现在的记者也真是有些太不负责任了,z0zDrypuX
z0A0mjKg0,如果行人过红绿灯也制定上法律就好了，堵车要少一大半,z0zDrypuX
z0A0da7qk,以后我开车的时候都不要打电话给我,z0zFgarJO
z0A0d8CgC,扩散,z0zDrypuX
z0zZWyery,扩散……,z0zDrypuX
z0zZKbYtE,要求高了对大家都好。就是以后要自己多注意了。,z0zEFtX4k
z0zZjzUYu,[给力],z0zDrypuX
z0zYEuIIL,真正的，太严了。。。,z0zDrypuX
z0zYEdAVB,危了,z0zDrypuX
z0zYovRgH,以后司机是高危职业，估计得普遍加薪了[鼓掌],z0zRjti95
z0zYfFDd3,还好，还好...,z0zMGcF5j
z0zY9t1Ec,[鼓掌],z0zDrypuX
z0zY48CFp,我勒个去~~,z0zDrypuX
z0zXKFb5F,开车的童鞋要看看了！,z0zDrypuX
z0zXGwYY0,惨了,z0zDrypuX
z0zWMlk8a,忽悠吧，怎么看都不是真的。,z0zDrypuX
z0zWx1JI8,车震，直接吊销驾照，50年内不准再次申领。,z0zDrypuX
z0zW4Cu9p,给老爸看吧~~~,z0zDrypuX
z0zVT9b7t,严重处罚政策[汽车],z0zDrypuX
z0zVREhTg,说得精辟[赞],z0zDrypuX
z0zUwjKZT,真的假的,z0zJHes2K
z0zUuxglM,公权力做大的机会来了。寻租大大的。,z0zDrypuX
z0zUoDQ1q,果断转,z0zDrypuX
z0zU61IPe,看来以后要系安全带了[汗],z0zDrypuX
z0zTWwIfx,普及下,z0zDrypuX
z0zTIDklS,哎。。。,z0zDrypuX
z0zTIo5V7,真假？,z0zDrypuX
z0zTrv1gA,系米嘎？貌似有电假,z0zDrypuX
z0zTmeg9v,副驾,z0zDrypuX
z0zST05DM,[吃惊],z0zDrypuX
z0zSGhta9,规定上可能会有，实际上应该没有,z0zLepfJ9
z0zSu9jvE,这样好多了，至少路上车会少很多,z0zDrypuX
z0zSnCZmK,支持！严厉的制度管理才是王道！,z0zDrypuX
z0zSc8PJt,妈呀！中国没法呆了。,z0zDrypuX
z0zRBr3J1,今年题目加大难度，请同学们记好答案，开卷考试。,z0zDrypuX
z0zRs2AnF,大家记得遵守了....,z0zDrypuX
z0zRleEF3,fxxx,z0zDrypuX
z0zRklpqn,[疑问]要小心啊,z0zDrypuX
z0zRk4W6W,应该1分100元,z0zDrypuX
z0zRjti95,建议本子有100分，这样够了,z0zDrypuX
z0zR97GtH,少了100,z0zDrypuX
z0zR6alc0,这是真的??,z0zDrypuX
z0zQZnwYT,一年应该有48分吧,z0zDrypuX
z0zQYbyZK,先收藏了~希望有车的朋友引起重视~,z0zDrypuX
z0zQRCKLz,骑摩托车吸烟怎么算？,z0zDrypuX
z0zQuB9IE,你不开车，人家警察叔叔 吃什么[奥特曼]你这个娃娃不懂事啦[右哼哼][左哼哼],z0zPO63to
z0zQawoTX,好吧 我承认我经常违章,z0zDrypuX
z0zPRl01B,闯两次红灯就要重学了~,z0zDrypuX
z0zPO63to,还让我开车不，，，，,z0zDrypuX
z0zPMBab3,转发转发！大家要注意了。。特别是冲红灯,z0zDrypuX
z0zPIpNC5,第四、第五项特别注意注意了,z0zDrypuX
z0zPftio4,副驾驶不及安全带也扣分！真坑,z0zDrypuX
z0zPb3wY5,还能不能开车了。,z0zDrypuX
z0zOV64fK,[围观][围观],z0zDrypuX
z0zOPvNPF,火哟。那搞毛线啊。,z0zDrypuX
z0zOwji1c,太不人道了,z0zDrypuX
z0zOvnnU5,。。。,z0zDrypuX
z0zOlDL9U,OMG,z0zDrypuX
z0zOjzFeC,副驾不系安全带也要罚款和扣分啊,z0zEFtX4k
z0zOb1Gru,大家都记牢噢,z0zDrypuX
z0zNVDkBV,[din推撞],z0zDrypuX
z0zNGz0bS,这是全国性的么…………,z0zDrypuX
z0zNs6pHB,不接电话的请客，步行不戴头盔，扣12分,z0zDrypuX
z0zNn6Zqp,好事来的！[挖鼻屎],z0zDrypuX
z0zNcpchg,我骑单车算了[怒][怒],z0zDrypuX
z0zMPFbry,开车要小小心心了[汗],z0zDrypuX
z0zMNi9AR,看谁以后还敢买车？,z0zDrypuX
z0zMGwox4,不打电话了。,z0zDrypuX
z0zMGcF5j,有个驾照是有多杯具,z0zDrypuX
z0zMDhs8k,真严格！[失望][失望],z0zDrypuX
z0zMAAX9v,有点狠了！基本翻倍！,z0zDrypuX
z0zMp5H3m,[good],z0zDrypuX
z0zLR8iay,这个处罚有点狠啊,z0zDrypuX
z0zLObRoT,建议把12分改为1200分,z0zDrypuX
z0zLIyMat,[偷笑],z0zDrypuX
z0zLEqA3l,还好自行车没有新规[自行车],z0zDrypuX
z0zLunHNT,吊暴,z0zDrypuX
z0zLsiIuc,真的吗,z0zDrypuX
z0zLk2kKI,大家以后小心点，别出事了！！！,z0zDrypuX
z0zLepfJ9,国内后排乘客不系安全带会不会罚,z0zDrypuX
z0zL66aVD,基本让人别开了！！,z0zDrypuX
z0zKHi4tl,必须扩散拉！！特别是你 再让你超速[怒][怒],z0zDrypuX
z0zKscvGl,[吃惊][吃惊][汗][汗][汗][汗],z0zDrypuX
z0zKpA6k4,严格点好，为了自己和他人的安全。,z0zDrypuX
z0zKphEkK,[睡觉],z0zDrypuX
z0zKkxOSZ,吓死了,z0zDrypuX
z0zKi9GZI,震惊了！这么严厉么！！,z0zDrypuX
z0zK1CVmW,真的还是假的,z0zDrypuX
z0zK0u0Cv,重拳出击啊。。,z0zDrypuX
z0zJKvCRz,严管,z0zDrypuX
z0zJHes2K,好恐怖！！！[泪],z0zDrypuX
z0zJzzvCf,吃喝东西扣分、罚款么,z0zDrypuX
z0zJzfWEk,知道不要驾照了。,z0zDrypuX
z0zJxbDi9,注意了,z0zDrypuX
z0zJpwDAm,拍照怎么处罚呢？,z0zDrypuX
z0zISqH07,我勒个擦,z0zDrypuX
z0zIRgDmU,别造谣了，JC官方微博都发了，这个是假的,z0zDrypuX
z0zILlakN,[奥特曼],z0zDrypuX
z0zIGC7gW,记得啊！,z0zDrypuX
z0zIG1xYw,还是不开车好。。[挖鼻屎],z0zDrypuX
z0zIt1Vri,扩散吧，又严了！,z0zDrypuX
z0zHK6kf4,这是真的吗,z0zDrypuX
z0zHGhSc5,尼玛不系安全带都要扣3分，交通部是没钱了么？,z0zDrypuX
z0zHFFu5H,牢记，记牢........,z0zDrypuX
z0zHx8f7b,这个太狠了吧!,z0zDrypuX
z0zHnmYwf,[自行车],z0zDrypuX
z0zHk7izc,真心狠。。。,z0zDrypuX
z0zHbfhnu,[吃惊],z0zDrypuX
z0zH8iFpI,副驾关驾驶员莫子事啊~~~,z0zDrypuX
z0zGUm2qb,【交通新规】太彪悍了，把新手吓死又吓活了,z0zDrypuX
z0zGM86TW,注意了,z0zDrypuX
z0zGpmDZt,坑爹。。。,z0zDrypuX
z0zGnA9rP,加多条大力处罚夜间行车滥用远光灯就更好了,z0zDrypuX
z0zGe8VSn,给有车没车的大家。。。,z0zDrypuX
z0zGdxhT7,[奥特曼],z0zDrypuX
z0zGbqXG5,记记好,z0zDrypuX
