source_id,comment_text,target_id,created_at
eocyq1w,I saw a comedian (Brad Williams) talk about buying a fake cell phone for “when” (not “if”) he got mugged while attending the Olympic Games in Brazil. He took a bunch of dick pics just for laughs on that phone.,brdrrt,2019-05-21 19:13:02
eof50lt,I watched this.What a tripod.,eocyq1w,2019-05-22 10:58:27
eoeillo,"This is pretty common in some states here in Brazil. We call it ""Mugger's Cellphone"", and it's and **art**. If it's too cheap the mugger might get suspicious that you have a better one hidden somewhere (and you might get stabbed or shot for that), if it's too expensive it defeats the purpose.I generally use an old, screen cracked iPhone 4S as my Mugger's Phone. Most thiefs won't steal an iPhone (there's this street legend that iPhone are easily trackable, and Androids are not), and if they do, it's broken and won't ever turn on. The only time I got mugged, the guy just gave it back to me and said it wasn't worth it.",brdrrt,2019-05-22 03:59:03
eof3qz3,"Not sure about trackability, but iPhones are a lot more difficult to fence after theft.The owner can lock it remotely, and can still get GPS location of the phone. Unless you have the iCloud password, you can't unlock or reset it to factory defaults without serious electronics hackery. So while it can be unlocked and tracking turned off, the average street thief can't do it themselves.Getting access to contents without erasing it is even harder, even the FBI had to pay a security consultancy multiple million dollars to get into the data stored on a dead shooter's phone.",eoeillo,2019-05-22 10:28:44
eof6pj0,"I was mugged a few months ago and the guy already had my phone in his hand, a brand new $280 phone. I then took out my wallet and took out my cash from it (~55 USD) and he gave me my phone back. 10/10",eoeillo,2019-05-22 11:33:13
eodou7i,"Hmm, you know someone went even further with this mindset... Fake keys, wallets...",brdrrt,2019-05-21 22:26:56
eod2uiu,"Give me your password. ---Oh, no, this phone doesn't need one. Enjoy",brdrrt,2019-05-21 19:40:56
eoe8ukf,1234! ONE TWO THREE FOUR!!!!,eod2uiu,2019-05-22 02:05:42
eoejyyg,Sounds like a plot in an episode of “Better Call Saul”.,brdrrt,2019-05-22 04:17:48
eof4mx9,Makes sense,brdrrt,2019-05-22 10:49:55
eok9z5m,"Give them Note 7's, watch them explode. Problem solved.",brdrrt,2019-05-23 22:17:46
eopbwn6,I've thought about carrying a second phone that I can hand in for tests when I take a bathroom break.,brdrrt,2019-05-25 04:51:17
eoedvtu,I would rather they start carrying guns instead.,brdrrt,2019-05-22 03:00:29
eofcidv,"Give them cheap fake phone or get shot, great plan lol. Or you dont have time to take gun out and now they steal your expensive gun too",eoedvtu,2019-05-22 13:09:42
eqs7boq,"Androids also have these features, they just aren't as well-known as apple. Androids can be remotely locked, tracked, or wiped, so long as they have internet access. You can still wipe an android phone using a PC though, if you know a little bit about them, so it's not like they are unfencable.",eof3qz3,2019-06-11 18:39:21
eogkn8s,"Wow, he sounds like a really nice guy.",eof6pj0,2019-05-22 21:18:09
eoeh3d4,That's amazing! I've got the same combination on my luggage!,eoe8ukf,2019-05-22 03:39:38
eofedc2,Uno dos tres cuatro!!,eoe8ukf,2019-05-22 13:35:37
eoem9jn,2444,eoe8ukf,2019-05-22 04:50:29
eofkdrr,"bring a fake gun, all problems solved.....lol cause you dead.",eofcidv,2019-05-22 14:51:39
eoh3h7a,"My mom told me once about a friend of hers getting mugged. The guy never acted aggressive in any way, never yelled at her or said mean things, he showed a knife but hid right after. Took her wallet and gave her all her documents back (we live in a border city so it's said that they find people that look like you so that they can cross illegally with your visa and passport), took her digital camera but took out the SD. Makes you wonder what goes through their heads",eogkn8s,2019-05-23 00:39:59
eox934h,"They are people, often in desperate need for money and don't see any other way to get it. They are not desperate to be assholes, so they try to keep the ratio of damage they do and profit they make even. Like the photos you took with your camera might be very valuable to you, but worthless to the mugger.",eoh3h7a,2019-05-27 01:32:16
