source_id,comment_text,target_id
yCvbWoh3k,学习,yzYq9icYQ
yC2AcA6QS,黄药师，慢了点...,yyxtp8Jmj
yBOguvQcH,想起高中时非得问音乐老师哆唻咪都是多少赫兹的频率,yBO5n89SK
yBO5n89SK,刹那之间，不复从前。,yzYq9icYQ
yBnIKd1yv,[微风][微风][微风],yzYq9icYQ
yAObFyo62,弹指，刹那有多久,yzYq9icYQ
yALwQ0QU1,谢谢分享,yzYq9icYQ
yAveEFpvw,弹指一瞬间是什么情况,yAuVKqvPl
yAuVKqvPl,扫盲了,yAtEK6DHu
yAtEK6DHu,记得某人跟我讲过,yzYq9icYQ
yArVhD5vR,OMG，原来如此,yyxtp8Jmj
yArJEifEa,[good],yyxtp8Jmj
yArHA539K,[奥特曼],yyxtp8Jmj
yArGyh1sN,学习了[good],yyxtp8Jmj
yArnQ7VWB,好东西,yyxtp8Jmj
yArmZ0g34,原来如此…,yyxtp8Jmj
yAmHyABTJ,一刹那，悟到了。。。,yyxtp8Jmj
yAmC32pfB,[微风][微风][微风]一念，念念不忘,yzYq9icYQ
yAlnjgVm2,图真美,yzYq9icYQ
yAgIztD1Y,原来弹指间和瞬间都有时间量化，弹指＝7.2秒，瞬间＝0.36秒。,yzYq9icYQ
yAaCYyWsx,佛经里说：弹一指头的时间有六十刹那。（赵老书，P34）,yyxtp8Jmj
yA8UA0Ljs,原来：弹指一挥间=7.2秒[哈哈][哈哈],yzYq9icYQ
yA8rMmRl9,一刹那有多长,yzYq9icYQ
yA7sH3aWV,一念等于0.018秒,yzYq9icYQ
yA6EEBVGM,请须知[给力][给力][给力],yzYq9icYQ
yA4hjevag,这幅图的澄明属于你！,yzYq9icYQ
yA4hakWG4,[祈祷][祈祷][祈祷],yzYq9icYQ
yA42z080P,[微风][微风][微风],yzYq9icYQ
yA3km0Faj,看来下次不能乱说了，不一样啊原来,yzYq9icYQ
yA35qetC9,第一次听说，以前没注意。。,yA0yf9kir
yA2R8z2mg,[微风][微风][微风],yzYq9icYQ
yA2dygZVW,[嘻嘻],yzYq9icYQ
yA106CIWL,弹指一挥间,yyxtp8Jmj
yA0YnCkUD,了解了,yyxtp8Jmj
yA0yf9kir,了解一下。,yzYq9icYQ
yA0wZshhe,名词解释，转发收藏。,yzYq9icYQ
yA0qgfvTs,真的精确啊。。,yzYq9icYQ
yA0bRcYEx,[微风][微风][微风],yzYq9icYQ
yA0bQ28xT,终于搞明白这些词了,yzYq9icYQ
yA06puBsk,学习帖,yzYq9icYQ
yzZTvzvPU,这个终于找到了！[嘻嘻],yzYq9icYQ
yzZSmlWov,原来什么都可以量化的。,yzYq9icYQ
yzZSahs8q,很好,yzYq9icYQ
yzZMR7Ssv,彈指間 又一關 誰要劃時代創舉?,yzYq9icYQ
yzZFqqBJe,同感！,yyxtp8Jmj
