source_id,comment_text,target_id
AsbFj8Clc,荷兰籍反化人士“李剑芒”在新浪组织的所谓“铁骑军”是什么组织？有没有到中国相关机关报备，若无报备则属于非法组织，李剑芒被新浪封杀几十次，为何可以重注新号就能死而不僵、卷土重来？请 及国家安全委员会予以处理。敬请爱国同胞呼吁声讨！,Asb0Ue2Yh
AtZ8QjY1v,恶心的要命，今天又见到 祭出这个网络黑社会僵尸军了。见,Asb0Ue2Yh
AsLXMmlqi,你说了一大堆废话，问你一个问题，你不回答，是不是说你就是哑巴了？你要么正面回答我刚才的问题，要么就闭嘴，不然没有小JJ。,Asb0Ue2Yh
AsLQChbQn,得!又活活问残废一个气壮如路易威登的废物····[哈哈],AsLPjzgzw
AsLPjzgzw,关键的话不敢说就是认怂，废话说的越多就越是废物。,Asb0Ue2Yh
AsLJsqw09,请问，哪个政权是独裁政权？,Asb0Ue2Yh
AsLHHF0Z6,好啊，你终于承认自己吃榕氏毒枣了。难怪。,Asb0Ue2Yh
AsCG6wu1s,转发就是力量。,Asb0Ue2Yh
Asq3jpJkY,实地到公安举报“铁骑军”试试，看看人家是否说你神经病,AsfRhksjY
AsjRV9H6k,原来如此。怎么养僵尸？,Asb0Ue2Yh
AsjKXrkXu,赵士林 我太阳你py,Asj0iz08M
AsjAD4DjL,哦，您还跪皇上呢。拜死人，还是拜鬼？[挖鼻屎],Asb0Ue2Yh
AsjozbVVK,或许水军是新浪的盈利模式？,Asb0Ue2Yh
Asjew3ZN7,不仅是只使用铁骑军吧？有粉丝投票，居然没见票数上涨。,Asj0iz08M
AsjagcvM4,[哈哈]铁骑军？其实就是一坨坨狗屎！,Asb0Ue2Yh
Asj6WbK9o,他就不累啊！,AsbFj8Clc
Asj0iz08M,开腹五千万僵尸长都被打的称患癌'逃离大陆，四万？算个毛！,Asb0Ue2Yh
AsihPmEf1,喊别人是一小撮的其实是他们自己,AshzsC6Hw
Asi9aoGuL,046: 呵呵，大妹子，哥哥就是李吉柯德呀。你们玩造假人民网，我冲着你们这些毛左大风车冲锋。虽然没事儿老挂帐号，但还是好玩！,Asb0Ue2Yh
Asi0Z60Ok,愿赌服输！有点志气，不要找借口，把失去的面子找回来，像个男人！噢！对不起，我忘了你是女人了！,Asb0Ue2Yh
AshLzrfWU,[围观],Asb0Ue2Yh
AshHl5Z3p,这个绝对不是伪造民意！！！[偷笑],Asb0Ue2Yh
AshDr0Ey2,平时·都可以看出来公知没有几个脑残粉不少,Asb0Ue2Yh
AshCLlyJk,当汉奸的走狗丢人不,AshAxE5mr
AshAxE5mr,普及常识：铁骑军是专打毛左以及五毛逼脸的网友自发组成的，无领导，无严密组织，只要毛左犯病，铁骑军就出动,Asb0Ue2Yh
AshzBatKK,[哈哈],Asb0Ue2Yh
AshzsC6Hw,乌云密布嘛，水军满天飞。,Asb0Ue2Yh
Ash0DqxjT,渣浪这是自寻死路啊。,Asb0Ue2Yh
AsgxZdkPj,是的，其实不可怕。看起来水军很多，但往往是一个人注册一堆号，折算下来没几个人。,Asb0Ue2Yh
AsgwEty2e,一些人正事做不来，就会出卖自己的良知赚钱，水军就是这么一个行业，公知和水军基本没有良知，该立法了。但是揭露水军，必然会招致水军的强烈反弹，因为这是断了他们的财路啊。,Asb0Ue2Yh
AsgpUmbg8,你急什么？你的皇上还没急呢。,Asb0Ue2Yh
AsgpxA1cD,不知道有没有关系。有的人即使输了，但输得悲壮，输的让人钦佩；有的人就输不起。[挖鼻屎],Asb0Ue2Yh
AsgmvmmOO,俺觉得这个“游戏”比您报告公安啥的要高尚，更能见光。[挖鼻屎],AsbFj8Clc
AsgkahqyQ,一个人能认输需要勇气的。[挖鼻屎],Asb0Ue2Yh
Asgiqriep,您也搞个投票啥的，看看能赢李剑芒不.[挖鼻屎],AsbFj8Clc
AsgfjdkTa,[话筒],AsgaH8Jvg
AsgaH8Jvg,汉奸的铁骑军就是一大堆僵尸啊。。。。李剑芒忒二。,Asb0Ue2Yh
AsfV32ODz,媣稥军团( )中国网义军军团( );公知病院军团(,AsfRhksjY
AsfRhksjY,[话筒]荷兰籍反化人士“李剑芒”在新浪组织的所谓“铁骑军”是什么组织？有没有到中国相关机关报备，若无报备则属于非法组织，李剑芒被新浪封杀几十次，为何可以重注新号就能死而不僵、卷土重来？请 及国家安全机关会予以处理。敬请爱国同胞呼吁声讨！,AsbFj8Clc
Asfiv9WEp,愿赌服输，大家都靠刷，刷不过别人有什么好说的,Asb0Ue2Yh
AseW9f2eV,支持一个你们不支持的人，就是网络黑社会，乱扣帽子，乱打棍子，你们什么时候从文革思维里跳出来，什么时候就成人了,Asb0Ue2Yh
AseJbuGFh,好多殭屍呀！荷蘭人了我呸[吐][吐],Asb0Ue2Yh
AseBRBGqT,芒A045: 呵呵，“反化人士”是干啥买卖的？请 调查研究一下。[哈哈],AsbFj8Clc
Asez3AuMp,转，,Asb0Ue2Yh
AseyjtHk3,同意楼主的意见。新浪微博是应该改进。对待这种死不改悔的极右甚至是汉奸卖国者，应该终身禁入微博。此外，我作为非直接当事人，多次举报违规现象遭驳回，这很不应该啊！不利于网络监督工作，怎么就不能以旁观人身份举报违规现象？,AsbFj8Clc
Asexay2ph,说的是，说的是。不去号召解聘大骂“去你妈的，滚你妈的，操你妈的”，被法庭判处过的北大教授,AscuCE72J
AsetdAVQb,是啊，观看闹剧上演。,Asessn782
Asessn782,有喜感，这么多的“真实读者”。原来他们依靠这玩意儿。,AsbJGovBi
AsequAmTZ,爷我也干过铁骑军，楼主这傻逼怎么着,Asb0Ue2Yh
Asekz0cIc,[带着微博去旅行],Asb0Ue2Yh
AsekoDiN3,偶神马时候加入铁骑军，自己也不知道啊，荣耀啊欧耶[哈哈],Asb0Ue2Yh
AsegPlWOx,五毛就是这么拽,AscuCE72J
AsecDzoHe,五毛脑残输了，世界就清静了，人类文明就迈向下一个时代了，他们就再也不能祸害人间了，它们输不起,Asb0Ue2Yh
Ase2N7jKR,干掉毛粪，就是正义,AscuCE72J
AsdZvucYQ,还投票专业户，真逗。踩死这些臭虫。,Asb0Ue2Yh
AsdShi7Da,借此让大家了解一下所谓的民主投票的真相也未尝不是一件好事。,AscuCE72J
AsdS2uUFw,[怒],Asb0Ue2Yh
AsdIH0CCS,看你们活蹦乱跳真是欢乐,Asb0Ue2Yh
AsdEdgrdQ,我们每一个投票的都是活生生的人，跟毛左的机器人不同[哼],Asb0Ue2Yh
AsdyjpRE4,后面都是投票机器呀！,AsbJGovBi
AsdvJ1Sxk,顶起,AsbFj8Clc
Asdu5kYDh,既不是慈心，也不明了！,Asb0Ue2Yh
AsdqAaePx,個人認爲get lost！比較好些，當然意思是一樣。,Asb0Ue2Yh
Asdlr4l8C,太棒,Asb0Ue2Yh
AsdaJo3zc,老李一招呼，就跟着老李投票的就是铁骑军的话，那我算是一个。毛左们爱咋咋滴。,Asb0Ue2Yh
Asd5bmJ7Z,[嘻嘻],Asb0Ue2Yh
AscuCE72J,对于这种网络投票游戏，不玩、不理、不落套，即使有千万黑铁骑，又有何用？,Asb2VvK2X
Asciu3S5X,投票专业户,Asb0Ue2Yh
AsbVsz90c,文革余孽自干五牲畜输不起满地打滚了？,Asb0Ue2Yh
AsbPpxPwr,反HUA,AsbFj8Clc
AsbPpgekz,[围观],Asb0Ue2Yh
AsbOKdzOb,强烈呼吁,AsbFj8Clc
AsbOzxkjw,这才是自带五毛,Asbq81b5m
AsbNy4dJi,[话筒],Asb0Ue2Yh
AsbJGovBi,哈哈，一下子截获那么多证据，我高兴还来不及呢。,AsbHMa0V0
AsbHPb9DP,李剑芒曰:投票不是为了对错，就是为了喜欢！神圣的一人一票哇！是非都不分，神圣如巴比伦的妓女一般呀！是非不分的一人一票选举迷们，也就像巴比伦浑身性病的嫖客一样了！有公知，中国真的离民主和公平好远啊！公知拯救不了任何着调的事，公知只能拯救性病……,Asb0Ue2Yh
AsbHMa0V0,博主挺住，不要太上火了。,Asb0Ue2Yh
AsbGzodpp,及国家安全委员会的同志精神是正常滴[偷笑],AsbFj8Clc
AsbFj8Clc,荷兰籍反化人士“李剑芒”在新浪组织的所谓“铁骑军”是什么组织？有没有到中国相关机关报备，若无报备则属于非法组织，李剑芒被新浪封杀几十次，为何可以重注新号就能死而不僵、卷土重来？请 及国家安全委员会予以处理。敬请爱国同胞呼吁声讨！,Asb0Ue2Yh
AsbEEDecF,好牛逼！/:[握手] 请转发~,AsboSgMYu
AsbxHuPTn,[哈哈],Asb0Ue2Yh
AsbvjcoUu,转评论[给力],Asb0Ue2Yh
Asbt91wlt,对于网络黑社会兴风作浪 你真的不知道?还是装糊涂?,Asb0Ue2Yh
AsbrctBFS,有必要申明一下，我自始至终都没有用肮脏粗鄙的话语来骂赵士林，是赵士林先后三次用肮脏粗鄙的话骂我，这才是我举报他的原因。大家可以细看我和他的微博，看看是谁一直在骂？,AsboSgMYu
Asbq81b5m,这李啥盲真够忙的，真把这当啥了，还铁骑军呢。。。发钱吗？？[嘻嘻],AsboSgMYu
AsbpRs0iE,铁骑军，反华的敌对势力！,AsboSgMYu
AsbpKlCTU,微博里不缺语言上的装逼，缺的是理性和执着！,AsboSgMYu
AsboSgMYu,虽然我也被这些公知攻击和举报，但还是坚决反对一帮极左用肮脏粗鄙的语言骂人，因此从人身攻击的角度上，人家举报的并没有错。这就像，你强奸妓女，一样是强奸 ；你骗小偷，一样属于诈骗,Asbn0rKyh
Asbn0rKyh,转发,Asbm1ipoL
Asbm1ipoL,[握手] 请转发~,AsbkBejCB
AsbkBejCB,[握手],Asb7OFAxb
Asbbd49Zd,赵士林骂人这回事，我一定讨一个说法，但我会使用合法公开的方法获得，不会通过阴谋诡计。,Asb0Ue2Yh
Asb9OdoQu,李开复不是养病去了吗？善恶到头终有报。,Asb7OFAxb
Asb7OFAxb,我已经截了很多图，相信会有用的。,Asb0Ue2Yh
Asb6cye1y,另转发,Asb2VvK2X
Asb2VvK2X,妥妥的水军,Asb0Ue2Yh
Asb25cD0S,也请 等关注。,Asb0Ue2Yh
