source_id,comment_text,target_id,created_at
A6g61jtcm,支那必亡,zejN8vBG2,2013-08-24 20:26:21
zeUKV93yo,[吃惊][汗][晕],zeaMs1O8W,2013-01-17 19:55:09
zeJkO7kI5,哈哈哈感觉像中药,zeaMs1O8W,2013-01-16 14:50:37
zetBq8F1B,蓝色光标都移植到西门子冰箱了？[吃惊]，厉害，怪不得要去公关 。不过要是需要维修也可以联系金牌服务浩浩。,zetxH53hA,2013-01-14 22:47:36
zetxH53hA,没有关系，我家博世冰箱中门关不上，有幸在西门孙子事件中听说了蓝色光标,zetmRpJuM,2013-01-14 22:38:26
zettfEN71,澄清~她并没有这个意思~只是大家的误解~！请不要再转发了~！！,zesQ8AqM7,2013-01-14 22:27:29
zetmRpJuM,发微博的所在公司蓝色光标不是庇护西门孙子，公关 那公司吗？,zetb46gwS,2013-01-14 22:11:44
zetb46gwS,。。。。。。,zesQ8AqM7,2013-01-14 21:42:39
zesQ8AqM7,严重声明 这是朋友 家小区在修水管 和污染无关！,zeaMs1O8W,2013-01-14 20:51:05
zesq7bmLJ,[衰],zeaMs1O8W,2013-01-14 19:46:57
zekhS7V0w,多謝習書記，讓我們免費喝可樂,zejKhth8B,2013-01-13 23:04:43
zek5thf8A,真相要转的！,zek4ih37w,2013-01-13 22:34:07
zek4ih37w,所以说，太多人骂天骂地骂政府只为发泄从不介意真相。,zeaMs1O8W,2013-01-13 22:31:16
zek1I6OeP,王老吉凉茶，喝了不上火。。。,zeaMs1O8W,2013-01-13 22:24:54
zek0cu1D9,[吃惊],zejZR9sJS,2013-01-13 22:21:11
zejZR9sJS,[吃驚],zeaMs1O8W,2013-01-13 22:20:20
zejV6AFfZ,真的假的?,zeaMs1O8W,2013-01-13 22:08:38
zejTclyyh,[衰],zeaMs1O8W,2013-01-13 22:03:55
zejN8vBG2,[哈哈][哈哈][哈哈][哈哈][哈哈],zeaMs1O8W,2013-01-13 21:49:00
zejM1nixW,？,zeaMs1O8W,2013-01-13 21:46:14
zejLhzJPI,太恐怖,zeaMs1O8W,2013-01-13 21:44:25
zejKPtAmU,我还以为是赤豆汤 是不是很像！！,zeaMs1O8W,2013-01-13 21:43:18
zejKs90k4,炒作这种消息很无聊，水管子维修都会这样，放一会就好了。,zeaMs1O8W,2013-01-13 21:42:23
zejKnFx6a,嘻嘻嘻，不要信，人家出来辟谣了！,zeaMs1O8W,2013-01-13 21:42:14
zejKhth8B,[衰]好似中藥甘[哼],zeaMs1O8W,2013-01-13 21:41:55
zejIOdHNh,[吃惊],zeaMs1O8W,2013-01-13 21:38:18
zejCk45tF,这个支持，要转！,zeaMs1O8W,2013-01-13 21:22:19
zej0IA6dF,收到，帮你转,zeiyC5VAG,2013-01-13 19:49:42
zeiGJ0SRk,是这样么？,zeaMs1O8W,2013-01-13 19:00:27
zeiAQ4YtW,这么凶残！！,zeaMs1O8W,2013-01-13 18:45:58
zeiyC5VAG,在帝都安好？,zeaMs1O8W,2013-01-13 18:40:28
zeiynkl6t,这些大号为了吸引眼球完全没有下限，肆意串改事实，明显这是停水之后的现象，原博主也声明过了。[怒],zeaMs1O8W,2013-01-13 18:39:50
zeixdvt8j,求辟谣,zeaMs1O8W,2013-01-13 18:37:00
zeivt5fBB,图片来源已经删微博辟谣了。。,zeaMs1O8W,2013-01-13 18:32:43
zeijRy0BP,冬令进补，吃高方呢！[嘻嘻],zeaNA7MKJ,2013-01-13 18:04:06
zehQ4sfm4,太离谱了,zeaMs1O8W,2013-01-13 16:50:42
zehykjnkH,还可以这样出名的哈，知道麻烦了吧？,zehxo7qgj,2013-01-13 16:07:00
zehxo7qgj,末日要来了吗？,zehqYo6AM,2013-01-13 16:04:40
zehqYo6AM,金山的水颜色没tm那么黑，但是tm一股液化气的味道，吃不死的绝对是长期灌溉的原因[衰]，,zebFkl8Hv,2013-01-13 15:48:54
zehneqToL,难怪北京地铁才两块，要不然早就成楼兰了,zef242Blr,2013-01-13 15:39:41
zehlJl61w,[吃惊],zeaY0lUcg,2013-01-13 15:35:59
zehiBusRt,庆幸生活在广州,zeharhXRX,2013-01-13 15:28:15
zehewwPeo,[震惊],zeharhXRX,2013-01-13 15:18:15
