source_id,comment_text,target_id,created_at
yupb5r8pA,要看到朝鲜已有的变化!一个国家在进步中，不容易!,yuhafflpv,2012-07-27 18:12:18
yummJayXe,再不咋地，朝鲜人民比哪些先富起来的人充实。,yuhafflpv,2012-07-27 11:02:44
yumhcFDvS,这………,yuhafflpv,2012-07-27 10:49:08
yumfYqMm9,+1,yuhafflpv,2012-07-27 10:46:07
yulHUvcLE,[衰]集体挖煤么？,yukPHzCdf,2012-07-27 09:22:10
yulxej1Ot,最后问题专家的话是亮点,yulwPuC44,2012-07-27 08:55:48
yulwPuC44,朝鲜人民愤怒了[神马],yuhafflpv,2012-07-27 08:54:54
yulshA8Bm,伦敦奥运一点都不严肃，感觉很多细节都是马马虎虎的。。据说地铁都不安检。。无语,yuhafflpv,2012-07-27 08:43:42
yulrb5pyX,[哈哈],yuhmot7j8,2012-07-27 08:40:58
yulr9z5v6,我看着这些污蔑朝鲜的低能儿的表演，我就恶心。当年不是污蔑朝鲜男足回国会被送去挖煤吗？无耻不要脸的胚子，事实呢？在事实面前你们不感觉可耻吗？还有脸出来污蔑，真他妈的是见过不要脸的，但没见过如此不要脸的。还是回去关着门舔你妈的菊花吧，别在大庭广众之下恶心地表演了。,yuhafflpv,2012-07-27 08:40:55
yulcAweTY,她们这么做是对，难道M国人就能容忍？,yuhUnDplY,2012-07-27 08:05:02
yulbb5kbF,女足也要去挖煤思密达[挖鼻屎],yuhafflpv,2012-07-27 08:01:32
yukPHzCdf,不太好的地方[衰],yuhafflpv,2012-07-27 07:08:34
yukLr8EpA,她们可能会被带到不太好的地方……,yuhafflpv,2012-07-27 06:58:07
yukEmDJ6f,如果没有罢赛，她们回国可能会被带到一个不太好的地方,yuhafflpv,2012-07-27 06:40:42
yukBJf2yB,太阴谋论。,yuhafflpv,2012-07-27 06:34:12
yujd0btPK,教练这表情...估计想着不太好的地方呢[汗][泪],yuhafflpv,2012-07-27 03:00:32
yujcfrXRr,最后一句…？,yuhafflpv,2012-07-27 02:58:37
yuj5jxJgf,[兔子]挖煤包邮么？亲,yuhafflpv,2012-07-27 02:41:37
yuiZq1XiQ,亮了~,yuhafflpv,2012-07-27 02:27:04
yuiQLphvd,不太好的地方是哪里[思考][哈哈],yuhafflpv,2012-07-27 02:05:42
yuiNjttcm,[衰][衰]最后一句,yuhafflpv,2012-07-27 01:57:15
yuiFe2Ugt,所谓专家言论纯属扯蛋，中国女足比赛时把五星红旗换成越南国旗试试，罢赛是对国家的热爱与维护，至于那个未知的地方，专家这么清楚，那还叫未知？自个家里的事都不敢说和说不清楚，还对别人的事情如此关注，和所谓西方民主国家有何区别？,yuhafflpv,2012-07-27 01:37:16
yuixZbJE0,真麻烦，真麻烦。哎。。。,yuhafflpv,2012-07-27 01:19:29
yuimbelnv,就说嘛，伦敦坑爹啊！朝鲜女足上场竟然挂韩国国旗！！！,yuhafflpv,2012-07-27 00:50:24
yuikqso9L,最后一句~隐晦,yuhafflpv,2012-07-27 00:46:06
yuifBsIzr,忽然想到，万一哪天半岛统一了，八卦旗迎风招展，这位导播就该被高调请回，当神人供着啦。[哈哈],yuheL766x,2012-07-27 00:34:09
yuidnatnb,"這下慘了,朝鮮很生氣,後果很嚴重",yuhafflpv,2012-07-27 00:28:42
yuicAppf6,今天（7.26號）凌晨的一场奥运女足小组赛，朝鲜女足比赛被组织方误挂韩国国旗，主教练申义勤赛后说：“我们最后赢了比赛，但这并不能弥补我们受到的伤害。这是两件完全不同的事情。是的，我们都很生气，因为运动员被介绍成了来自韩国。这种东西会给我们带来很严重的影响，你们懂的。”,yuhafflpv,2012-07-27 00:26:47
yuicA6YLh,最后一句亮了,yuhafflpv,2012-07-27 00:26:46
yuicdF18i,= =……最后一句亮了……,yuhafflpv,2012-07-27 00:25:52
yui86EeiD,“如没罢赛抗议，那她们回国可能会被带到一个不太好的地方。”,yuhafflpv,2012-07-27 00:15:44
yui3wnLmL,我期待朝鲜代表团在开幕式上做些什么事情。,yuhafflpv,2012-07-27 00:04:26
yui15mxkG,这个导播也是跟人打赌了么[汗],yuhafflpv,2012-07-26 23:58:25
yui0K7tkF,错就错了，还这么敏感，罢赛是必须的。,yuhafflpv,2012-07-26 23:57:31
yui0JuqOB,太扯了吧!伦敦工作人员太不懂尊重朝鲜!,yuhafflpv,2012-07-26 23:57:35
yuhXB4XMG,[加油][亲亲][din推撞],yuhafflpv,2012-07-26 23:49:51
yuhWAnYKF,幸好还 2:0 赢了!,yuhafflpv,2012-07-26 23:47:20
yuhWkubaN,带到一个不太好的地方？？？吓人。。。,yuhafflpv,2012-07-26 23:46:40
yuhUnDplY,[懒得理你]不会又要派到煤场去挖煤了吧~~,yuhafflpv,2012-07-26 23:41:52
yuhRTnNij,一个发乎内心的爱国行为，就这么被最后一句砖家引述给弄变味了。高喊反对洗脑的人，不见得就没有已经被洗过一遍了。,yuhh47Vc1,2012-07-26 23:35:45
yuhRdqJMr,不太好的地方。。。。。,yuhafflpv,2012-07-26 23:34:08
yuhQ0kpxI,朝鲜也有妓院吗？,yuhafflpv,2012-07-26 23:31:08
yuhPUrWI1,亲，那是在现场挂的国旗，关转播P事啊。,yuhafflpv,2012-07-26 23:30:51
yuhNMn98d,挖煤么。。。,yuhafflpv,2012-07-26 23:25:39
yuhN5w48x,越穷的越被看不起的自尊心越强,yuhafflpv,2012-07-26 23:23:56
yuhLw1oDz,故意的吧,yuhnf6clV,2012-07-26 23:20:01
yuhLj1NbS,如没罢赛抗议，那她们回国可能会被带到一个不太好的地方。,yuhafflpv,2012-07-26 23:19:33
yuhL119Fd,莫非喺迷の矿洞[g头晕],yuhafflpv,2012-07-26 23:18:50
yuhKSqGRx,没有实力的愤怒毫无意义。—普京,yuhafflpv,2012-07-26 23:18:27
yuhKhr97b,"都是临时工的错，全世界通用,中国制造，精工品质，你值得拥有～",yuhafflpv,2012-07-26 23:17:01
yuhK3iP2C,不太好的地方!,yuhafflpv,2012-07-26 23:16:26
yuhK0AqQ4,不管朝鲜国内是怎么样的政治环境，这样的失误让正常人也觉得不能接受，更何况朝鲜国际地位低下，遭众强权排挤！国家尊严岂能拿“体育不要政治”这样高尚的口号玩弄？很多人居然觉得朝鲜人活该……这事要是放到二十年前中国身上，挂成小日本的膏药旗你们怎么想？没有给你尊重你还上赶着跟人竞技？,yuhafflpv,2012-07-26 23:16:23
yuhJmqOkH,社会主义盟友必须支持一起走,yuhymsORI,2012-07-26 23:14:46
yuhJ6uPi7,朝鲜人民、政府真“敬爱”自己国家。,yuhafflpv,2012-07-26 23:14:04
yuhJ3dOHE,最后这句话意义深远，兹事体大啊！,yuhafflpv,2012-07-26 23:14:00
yuhIXkCvo,朝鲜人民、政府真敬爱自己国家。,yuhafflpv,2012-07-26 23:13:46
yuhIFgyuE,[威武],yuhafflpv,2012-07-26 23:13:00
yuhHSdiD5,这脚政治觉悟,yuhdN8ilM,2012-07-26 23:11:06
