source_id,comment_text,target_id
ldAyn0,路过,iXmyQf
kwyaB3,挺实诚的 ，兄弟太有才了！,iXmyQf
kw1o8A,没有遗憾，给你再多幸福也不会体会快乐。,iXmyQf
kvlFfw,舍得！,ku97sV
kv8NK0,大赞。,ku97sV
kv7JBC,喜欢！,ku97sV
kv1mHb,嗯。。,ku97sV
kuDEDW,舍得酒，来一杯,kuaNPT
kuBqs0,人生是一个不断放弃又不断经历的过程，放下才能新生,iXmyQf
kut3OS,舍得,ku97sV
kur5y7,爱因为不能拥有而深刻，梦因为不能圆而美丽。人生，总是带着残缺的美，因缺憾而凄美。,iXmyQf
kuqsle,友人所赠“舍得”二字，有舍才会有得,ku97sV
kupN8q,给舍得酒做广告？,ku97sV
kuaNPT,心怀大舍，行求必得；综使不得，心未有失！/: 何必执着于得呢，舍也是得，你的舍是他的得，今日之舍是明日之得，皮囊之舍是心智之得。舍得之辩，随心而定，浮萍随波，笑容依然,ku97sV
ku9cGk,图片不错,ku97sV
ku97sV,何必执着于＂得＂呢？…舍也是得，你的舍是他的得，今日之舍是明日之得，皮囊之舍是心智之得。舍得之辩，随心而定，浮萍随波，笑容依然,iXmyQf
kte60W,凄美？我不喜欢~~~~,iXmyQf
j26WL6,我为什么没有早点遇到你！,iXmyQf
j1y7nA,哈哈哈哈,iXmyQf
iZwylw,人生，总是带着残缺的美，因缺憾而凄美。,iXmyQf
iZvRQ6,要是允许贪心~该有多好……,iXmyQf
iZoBdC,放弃、、、,iXmyQf
iZkyhw,不放弃就没有了,iXmyQf
iZj9t4,缺憾美!,iXmyQf
iZ9t3e,。。。。。。。,iXmyQf
iZ8wAC,人生就是一个不停放弃的过程,iXmyQf
iZ8pE4,当然可以，才不要接受命运安排。,iYEpG6
iZ5WaM,人生总有缺憾,iXmyQf
iYEpG6,我地可以該寫自己的人生[[吃惊]衰],iXzEf2
iYzihi,学会选择，懂得放弃,iXmyQf
iYy7c6,双手能抓住的东西有限，只有舍弃一些，才能抓住另一些！,iXmyQf
iYwXP6,走向知性~,iXmyQf
iYwQUW,制衡,iXmyQf
iYtgUo,有舍才有得。,iXmyQf
iYsU9Y,失去不是完全失去，必定會有其他收穫,iXmyQf
iYlxIE,什么都参透了，没劲！！！不管你参透了什么，每天还得吃喝拉撒睡，把握当下吧，这一秒，这一分，这一刻的实在。。。。,iYiJxy
iYjsWM,残缺的美,iXmyQf
iYiJxy,人生就是拥有后再放弃的过程，没有什么你能抓住不放 ，什么都不会永远属于你…最后回归于原点…什么都是曾经拥有，所以拥有时要珍惜…,iXmyQf
iYhfUQ,“——接受与否，有时我们并无选择。爱因为不能拥有而深刻，梦因为不能圆而美丽。人生，总是带着残缺的美，因缺憾而凄美。”,iXmyQf
iYeqQ8,放弃爱情收获友情,iXmyQf
iYdIKE,我们都在放弃中找寻自己想要得到的东西！[神马],iXmyQf
iYcSxu,残缺的美...,iXmyQf
iY9sZY,[微风],iXmyQf
